Ref,Val,Package,PosX,PosY,Rot,Side
"","","",57.150000,-64.212518,0.000000,top
"","","",57.150000,-122.174000,0.000000,top
"","","",65.783122,-122.211958,0.000000,top
"","","",65.807380,-64.200386,0.000000,top
"C1","0.1uF","C_0805_2012Metric",56.557500,-131.457400,180.000000,top
"C2","10uF","C_0805_2012Metric",56.557500,-133.757400,180.000000,top
"C3","220p","C_0805_2012Metric",64.907500,-134.057400,0.000000,top
"C4","220p","C_0805_2012Metric",61.007500,-134.057400,0.000000,top
"C5","0.1uF","C_0805_2012Metric",79.700000,-129.993500,180.000000,top
"C6","10uF","C_0805_2012Metric",79.700000,-132.293500,180.000000,top
"C7","220p","C_0805_2012Metric",88.050000,-132.593500,0.000000,top
"C8","220p","C_0805_2012Metric",84.150000,-132.593500,180.000000,top
"C9","0.1uF","C_0805_2012Metric",103.496000,-129.910000,180.000000,top
"C10","10uF","C_0805_2012Metric",103.496000,-132.210000,180.000000,top
"C11","220p","C_0805_2012Metric",111.846000,-132.510000,0.000000,top
"C12","220p","C_0805_2012Metric",107.946000,-132.510000,180.000000,top
"C13","0.1uF","C_0805_2012Metric",127.885571,-130.230924,180.000000,top
"C14","10uF","C_0805_2012Metric",127.885571,-132.530924,180.000000,top
"C15","220p","C_0805_2012Metric",136.235571,-132.588000,0.000000,top
"C16","220p","C_0805_2012Metric",132.335571,-132.588000,180.000000,top
"C17","0.1uF","C_0805_2012Metric",151.736000,-130.556000,180.000000,top
"C18","10uF","C_0805_2012Metric",151.736000,-132.856000,180.000000,top
"C19","220p","C_0805_2012Metric",160.086000,-132.588000,0.000000,top
"C20","220p","C_0805_2012Metric",156.186000,-132.588000,180.000000,top
"C21","0.1uF","C_0805_2012Metric",175.866000,-131.010000,180.000000,top
"C22","10uF","C_0805_2012Metric",175.866000,-133.310000,180.000000,top
"C23","220p","C_0805_2012Metric",184.216000,-132.588000,0.000000,top
"C24","220p","C_0805_2012Metric",180.316000,-132.588000,180.000000,top
"C25","0.1uF","C_0805_2012Metric",199.742000,-130.779000,180.000000,top
"C26","10uF","C_0805_2012Metric",199.742000,-133.079000,180.000000,top
"C27","220p","C_0805_2012Metric",208.092000,-132.588000,0.000000,top
"C28","220p","C_0805_2012Metric",204.192000,-132.588000,180.000000,top
"C29","0.1uF","C_0805_2012Metric",223.872000,-131.064000,180.000000,top
"C30","10uF","C_0805_2012Metric",223.872000,-133.364000,180.000000,top
"C31","220p","C_0805_2012Metric",232.222000,-132.588000,0.000000,top
"C32","220p","C_0805_2012Metric",228.322000,-132.588000,180.000000,top
"C33","100n","C_0805_2012Metric",56.387600,-89.896000,90.000000,top
"C34","DNP","C_0805_2012Metric",60.299200,-91.333600,180.000000,top
"C35","DNP","C_0805_2012Metric",55.524000,-77.109600,-90.000000,top
"C36","DNP","C_0805_2012Metric",56.387600,-86.086000,90.000000,top
"C37","100n","C_0805_2012Metric",56.343601,-112.316782,90.000000,top
"C38","DNP","C_0805_2012Metric",60.204401,-113.620701,180.000000,top
"C39","DNP","C_0805_2012Metric",55.561069,-99.486050,-90.000000,top
"C40","DNP","C_0805_2012Metric",56.292801,-108.273504,90.000000,top
"D1","LED","LED_0603_1608Metric",75.336000,-59.228000,180.000000,top
"FB1","Ferrite","L_0805_2012Metric",61.607500,-131.157400,-90.000000,top
"FB2","Ferrite","L_0805_2012Metric",64.107500,-131.119900,-90.000000,top
"FB3","Ferrite","L_0805_2012Metric",84.750000,-129.693500,-90.000000,top
"FB4","Ferrite","L_0805_2012Metric",87.250000,-129.656000,-90.000000,top
"FB5","Ferrite","L_0805_2012Metric",108.546000,-129.610000,-90.000000,top
"FB6","Ferrite","L_0805_2012Metric",111.046000,-129.572500,-90.000000,top
"FB7","Ferrite","L_0805_2012Metric",132.935571,-129.688000,-90.000000,top
"FB8","Ferrite","L_0805_2012Metric",135.435571,-129.650500,-90.000000,top
"FB9","Ferrite","L_0805_2012Metric",156.786000,-129.688000,-90.000000,top
"FB10","Ferrite","L_0805_2012Metric",159.286000,-129.650500,-90.000000,top
"FB11","Ferrite","L_0805_2012Metric",180.916000,-129.688000,-90.000000,top
"FB12","Ferrite","L_0805_2012Metric",183.416000,-129.650500,-90.000000,top
"FB13","Ferrite","L_0805_2012Metric",204.792000,-129.688000,-90.000000,top
"FB14","Ferrite","L_0805_2012Metric",207.292000,-129.650500,-90.000000,top
"FB15","Ferrite","L_0805_2012Metric",228.922000,-129.688000,-90.000000,top
"FB16","Ferrite","L_0805_2012Metric",231.422000,-129.650500,-90.000000,top
"IC1","LMK1C1102PWR","SOP65P640X120-8N",59.334000,-83.612000,-90.000000,top
"IC2","LMK1C1102PWR","SOP65P640X120-8N",59.391601,-105.792155,-90.000000,top
"J2","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Horizontal",66.635765,-69.120000,0.000000,top
"J3","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Horizontal",239.000000,-69.140000,0.000000,top
"LS1","Speaker","ASB05708CO-LW100-R",53.900000,-66.750000,0.000000,top
