BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 6, 213, 1.344, 0, 0, 155, 39, 6, 15, 22, 55, 8, 12, 7883, 9696
Z10, 8, 241, 1.521, 0, 0, 159, 39, 6, 15, 24, 60, 8, 12, 8493, 10595
Z10, 16, 353, 2.228, 0, 0, 191, 44, 6, 15, 31, 79, 8, 12, 10966, 14042
Z10, 24, 465, 2.935, 0, 0, 231, 48, 6, 15, 38, 100, 8, 12, 13438, 17715
Z10, 32, 577, 3.642, 0, 0, 281, 52, 6, 15, 45, 120, 8, 12, 15878, 21227
GENESYS, 6, 166, 0.675, 0, 0, 154, 29, 1, 5, 4, 10, 8, 20, 6067, 7091
GENESYS, 8, 186, 0.757, 0, 0, 161, 31, 1, 5, 4, 11, 8, 20, 6637, 7974
GENESYS, 16, 266, 1.082, 0, 0, 192, 34, 1, 5, 6, 15, 8, 20, 9110, 11282
GENESYS, 24, 346, 1.408, 0, 0, 232, 38, 1, 5, 8, 21, 8, 20, 11550, 14822
GENESYS, 32, 426, 1.733, 0, 0, 281, 42, 1, 5, 9, 25, 8, 20, 13958, 18158
GENESYS, 48, 586, 2.384, 0, 0, 395, 51, 1, 5, 13, 35, 8, 20, 18872, 24919
