BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 50, 749, 4.728, 0, 0, 120, 37, 6, 7, 10, 37, 8, 6, 3541, 6514
Z10, 100, 1449, 9.146, 0, 0, 159, 43, 6, 7, 13, 43, 8, 6, 4640, 7704
Z10, 200, 2849, 18.646, 0, 0, 422, 58, 6, 7, 19, 59, 8, 6, 6939, 10433
Z10, 350, 4949, 31.663, 0, 0, 1552, 87, 6, 7, 30, 79, 8, 6, 10588, 13991
Z10, 500, 7049, 44.493, 0, 0, 4231, 122, 6, 7, 39, 100, 8, 6, 14038, 17665
GENESYS, 50, 543, 2.209, 0, 0, 117, 30, 1, 2, 1, 7, 8, 8, 2159, 5456
GENESYS, 100, 1043, 4.244, 0, 0, 161, 34, 1, 2, 1, 9, 8, 8, 2660, 6796
GENESYS, 200, 2043, 8.313, 0, 0, 416, 45, 1, 2, 2, 13, 8, 8, 3661, 9504
GENESYS, 350, 3543, 14.416, 0, 0, 1594, 67, 1, 2, 3, 19, 8, 8, 5162, 13749
GENESYS, 500, 5043, 20.520, 0, 0, 4252, 90, 1, 2, 4, 25, 8, 8, 6662, 17737
