BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 30, 1402, 8.849, 0, 0, 142, 42, 5, 7, 23, 43, 7, 6, 8293, 7617
Z10, 60, 2692, 16.992, 0, 0, 174, 59, 5, 7, 38, 55, 7, 6, 13632, 9774
Z10, 90, 3982, 25.134, 0, 0, 235, 91, 5, 7, 54, 68, 7, 6, 19031, 12076
Z10, 120, 5272, 33.277, 0, 0, 337, 135, 5, 7, 69, 81, 7, 6, 24371, 14292
Z10, 130, 5702, 35.991, 0, 0, 380, 152, 5, 7, 74, 86, 7, 6, 26280, 15196
Z10, 150, 6562, 41.419, 0, 0, 496, 208, 5, 7, 84, 94, 7, 6, 29860, 16668
Z10, 175, 7637, 48.205, 0, 0, 667, 278, 5, 7, 97, 105, 7, 6, 34335, 18499
GENESYS, 30, 1081, 4.399, 0, 0, 137, 34, 1, 2, 4, 9, 7, 8, 6899, 6715
GENESYS, 60, 2071, 8.427, 0, 0, 175, 47, 1, 2, 8, 12, 7, 8, 11731, 8843
GENESYS, 90, 3061, 12.455, 0, 0, 230, 65, 1, 2, 11, 15, 7, 8, 16563, 11184
GENESYS, 120, 4051, 16.484, 0, 0, 344, 95, 1, 2, 15, 18, 8, 8, 21393, 13396
GENESYS, 130, 4381, 17.826, 0, 0, 383, 106, 1, 2, 16, 20, 8, 8, 23005, 14275
GENESYS, 150, 5041, 20.512, 0, 0, 511, 129, 1, 2, 18, 22, 7, 8, 26225, 15750
GENESYS, 175, 5866, 23.869, 0, 0, 656, 170, 1, 2, 21, 24, 7, 8, 30250, 17590
GENESYS, 200, 6691, 27.226, 0, 0, 1086, 234, 1, 2, 24, 27, 8, 8, 34275, 19422
GENESYS, 250, 8341, 33.940, 0, 0, 2874, 366, 1, 2, 29, 32, 7, 8, 42325, 23107
GENESYS, 350, 11641, 47.367, 0, 0, 16275, 810, 1, 2, 41, 42, 7, 8, 58427, 29766
GENESYS, 500, 16591, 67.509, 0, 0, 141837, 2089, 1, 2, 58, 55, 7, 8, 82577, 39306
