BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 6, 97, 0.789, 0, 0, 307, 60, 0, 25, 14, 39, 0, 20, 5030, 7004
Z10, 8, 116, 0.944, 0, 0, 317, 64, 0, 25, 15, 40, 0, 20, 5499, 7178
Z10, 16, 180, 1.465, 0, 0, 365, 75, 0, 25, 20, 45, 0, 20, 7191, 7924
Z10, 24, 244, 1.996, 0, 0, 433, 67, 0, 25, 25, 48, 0, 20, 8815, 8576
Z10, 32, 308, 2.564, 0, 0, 488, 68, 0, 25, 29, 52, 0, 20, 10439, 9272
Z20, 6, 97, 0.789, 0, 0, 299, 60, 0, 9, 4, 13, 0, 20, 5030, 7004
Z20, 8, 116, 0.944, 0, 0, 311, 60, 0, 9, 5, 13, 0, 20, 5499, 7178
Z20, 16, 180, 1.465, 0, 0, 356, 63, 0, 9, 6, 14, 0, 20, 7191, 7924
Z20, 24, 244, 1.996, 0, 0, 424, 66, 0, 9, 8, 16, 0, 20, 8815, 8576
Z20, 32, 308, 2.564, 0, 0, 494, 70, 0, 9, 9, 17, 0, 20, 10439, 9272
GENESYS, 6, 74, 0.602, 0, 0, 305, 52, 0, 5, 3, 7, 0, 20, 4669, 5256
GENESYS, 8, 88, 0.716, 0, 0, 313, 55, 0, 5, 3, 7, 0, 20, 5109, 5458
GENESYS, 16, 136, 1.107, 0, 0, 366, 54, 0, 5, 4, 8, 0, 20, 6785, 6084
GENESYS, 24, 184, 1.497, 0, 0, 417, 56, 0, 5, 5, 9, 0, 20, 8393, 6684
GENESYS, 32, 232, 1.888, 0, 0, 478, 58, 0, 5, 7, 10, 0, 20, 10001, 7271
GENESYS, 48, 328, 2.669, 0, 0, 625, 63, 0, 5, 9, 12, 0, 20, 13217, 8522
