BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 2, 225, 1.831, 4, 2, 557, 58, 0, 10, 9, 35, 0, 8, 3355, 6221
Z10, 4, 439, 3.573, 8, 4, 242, 65, 0, 10, 11, 43, 0, 8, 3967, 7742
Z10, 8, 795, 6.470, 16, 8, 323, 71, 0, 10, 15, 53, 0, 8, 5345, 9334
Z10, 16, 1503, 12.231, 32, 16, 247, 80, 0, 10, 22, 62, 0, 8, 7801, 10974
Z10, 32, 2919, 23.755, 64, 32, 389, 101, 0, 10, 36, 82, 0, 8, 12728, 14561
Z10, 48, 4334, 35.669, 96, 48, 348, 158, 0, 10, 50, 103, 0, 8, 17662, 18206
Z10, 64, 5750, 46.793, 128, 64, 382, 232, 0, 10, 64, 124, 0, 8, 22632, 21893
Z20, 2, 225, 1.831, 4, 2, 337, 62, 0, 3, 3, 11, 0, 8, 3355, 6221
Z20, 4, 439, 3.573, 8, 4, 240, 64, 0, 3, 3, 14, 0, 8, 3967, 7742
Z20, 8, 795, 6.470, 16, 8, 234, 68, 0, 3, 5, 17, 0, 8, 5345, 9334
Z20, 16, 1503, 12.231, 32, 16, 273, 76, 0, 3, 7, 20, 0, 8, 7801, 10974
Z20, 32, 2919, 23.755, 64, 32, 291, 99, 0, 3, 11, 27, 0, 8, 12728, 14561
Z20, 48, 4334, 35.669, 96, 48, 326, 149, 0, 3, 16, 34, 0, 8, 17662, 18206
Z20, 64, 5750, 46.793, 128, 64, 352, 241, 0, 3, 21, 41, 0, 8, 22632, 21893
GENESYS, 2, 194, 1.579, 4, 2, 278, 51, 0, 2, 2, 7, 0, 8, 3057, 5453
GENESYS, 4, 402, 3.271, 8, 4, 356, 53, 0, 2, 2, 9, 0, 8, 3663, 6955
GENESYS, 8, 747, 6.079, 16, 8, 411, 56, 0, 2, 3, 12, 0, 10, 5266, 8830
GENESYS, 16, 1431, 11.645, 32, 16, 274, 64, 0, 2, 5, 14, 0, 8, 7397, 10292
GENESYS, 32, 2799, 22.778, 64, 32, 405, 89, 0, 2, 8, 19, 0, 10, 12415, 14089
GENESYS, 48, 4166, 33.903, 96, 48, 395, 144, 0, 2, 12, 25, 0, 10, 17165, 17791
GENESYS, 64, 5534, 45.036, 128, 64, 339, 205, 0, 2, 15, 30, 0, 8, 21681, 21217
