BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 30, 328, 2.669, 0, 0, 279, 69, 0, 191, 50, 155, 0, 153, 17613, 27286
Z10, 60, 537, 4.370, 0, 0, 343, 82, 0, 378, 96, 302, 1, 303, 33863, 53192
Z10, 90, 777, 6.450, 0, 0, 436, 94, 0, 566, 142, 442, 1, 453, 50154, 77804
Z10, 120, 1017, 8.428, 0, 0, 1072, 99, 0, 753, 188, 581, 1, 603, 66444, 102353
Z10, 130, 1097, 8.927, 0, 0, 718, 110, 0, 816, 204, 628, 1, 653, 71875, 110701
Z10, 150, 1257, 10.755, 0, 0, 1091, 110, 0, 941, 235, 721, 1, 753, 82735, 127065
Z10, 175, 1457, 12.805, 0, 0, 1288, 117, 0, 1097, 273, 838, 1, 878, 96310, 147511
Z20, 30, 328, 2.669, 0, 0, 332, 69, 0, 69, 16, 51, 0, 153, 17613, 27286
Z20, 60, 537, 4.370, 0, 0, 353, 74, 0, 137, 31, 99, 1, 303, 33863, 53192
Z20, 90, 777, 6.450, 0, 0, 458, 85, 0, 205, 47, 146, 1, 453, 50154, 77804
Z20, 120, 1017, 8.428, 0, 0, 624, 94, 0, 274, 62, 192, 1, 603, 66444, 102353
Z20, 130, 1097, 8.927, 0, 0, 723, 98, 0, 296, 67, 208, 1, 653, 71875, 110701
Z20, 150, 1257, 10.755, 0, 0, 943, 104, 0, 342, 77, 238, 1, 753, 82735, 127065
Z20, 175, 1457, 12.805, 0, 0, 1251, 113, 0, 399, 90, 277, 1, 878, 96310, 147511
GENESYS, 30, 253, 2.059, 0, 0, 279, 57, 0, 43, 11, 21, 0, 156, 15564, 15017
GENESYS, 60, 402, 3.271, 0, 0, 356, 67, 0, 85, 21, 40, 1, 306, 29984, 28839
GENESYS, 90, 582, 4.736, 0, 0, 458, 75, 0, 126, 31, 59, 2, 456, 44445, 42193
GENESYS, 120, 762, 6.201, 0, 0, 657, 84, 0, 168, 41, 77, 2, 606, 58905, 54825
GENESYS, 130, 822, 6.689, 0, 0, 717, 87, 0, 182, 45, 83, 1, 656, 63726, 59183
GENESYS, 150, 942, 7.666, 0, 0, 1096, 98, 0, 210, 51, 95, 1, 756, 73366, 67604
GENESYS, 175, 1092, 8.887, 0, 0, 1213, 102, 0, 244, 60, 110, 1, 881, 85416, 78134
GENESYS, 200, 1242, 10.107, 0, 0, 2052, 113, 0, 279, 69, 125, 1, 1006, 97466, 88661
GENESYS, 250, 1542, 12.549, 0, 0, 3883, 141, 0, 348, 86, 155, 2, 1256, 121566, 109715
GENESYS, 350, 2142, 17.432, 0, 0, 18915, 184, 0, 487, 120, 215, 2, 1756, 169767, 152123
GENESYS, 500, 3042, 24.756, 0, 0, 106187, 279, 0, 696, 171, 305, 2, 2506, 242067, 215363
