BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 2, 186, 1.514, 0, 0, 256, 66, 0, 21, 14, 49, 0, 17, 4933, 8773
Z10, 4, 214, 1.742, 0, 0, 279, 67, 0, 28, 16, 59, 0, 23, 5651, 10397
Z10, 8, 251, 2.043, 0, 0, 348, 1665, 3, 21, 17, 64, 4, 17, 6213, 11282
Z10, 16, 327, 2.661, 0, 0, 543, 72, 3, 21, 20, 82, 4, 17, 7171, 14496
Z10, 32, 482, 3.923, 0, 0, 2056, 85, 5, 25, 26, 121, 6, 20, 9259, 21432
Z10, 64, 786, 6.396, 0, 0, 6390, 105, 5, 28, 37, 196, 6, 23, 13344, 34583
Z10, 128, 1384, 11.263, 0, 0, 80033, 160, 5, 40, 64, 358, 6, 32, 22636, 63068
Z10, 192, 2024, 16.471, 0, 0, 426478, 229, 8, 40, 86, 506, 10, 32, 30288, 89230
Z10, 256, 2664, 21.680, 0, 0, 5055944, 323, 8, 40, 107, 655, 10, 32, 37938, 115404
Z20, 2, 186, 1.514, 0, 0, 256, 72, 0, 7, 4, 16, 0, 17, 4933, 8773
Z20, 4, 214, 1.742, 0, 0, 279, 71, 0, 10, 5, 19, 0, 23, 5651, 10397
Z20, 8, 251, 2.043, 0, 0, 332, 72, 1, 7, 5, 21, 4, 17, 6213, 11282
Z20, 16, 327, 2.661, 0, 0, 609, 77, 1, 7, 6, 27, 4, 17, 7171, 14496
Z20, 32, 482, 3.923, 0, 0, 1692, 86, 2, 9, 8, 40, 6, 20, 9259, 21432
Z20, 64, 786, 6.396, 0, 0, 8337, 115, 2, 10, 12, 65, 6, 23, 13344, 34583
Z20, 128, 1384, 11.263, 0, 0, 86939, 176, 2, 14, 21, 118, 6, 32, 22636, 63068
Z20, 192, 2024, 16.471, 0, 0, 425054, 240, 3, 14, 28, 167, 10, 32, 30288, 89230
Z20, 256, 2664, 21.680, 0, 0, 1125504, 324, 3, 14, 35, 216, 10, 32, 37938, 115404
GENESYS, 2, 144, 1.172, 0, 0, 248, 64, 0, 5, 2, 11, 0, 20, 4225, 8109
GENESYS, 4, 168, 1.367, 0, 0, 272, 62, 0, 7, 3, 13, 0, 26, 4650, 9373
GENESYS, 8, 209, 1.701, 0, 0, 341, 65, 0, 5, 3, 15, 4, 20, 4649, 10601
GENESYS, 16, 285, 2.319, 0, 0, 567, 74, 0, 5, 3, 19, 4, 20, 4943, 13826
GENESYS, 32, 441, 3.589, 0, 0, 1382, 82, 1, 6, 4, 29, 6, 23, 5895, 20788
GENESYS, 64, 745, 6.063, 0, 0, 8492, 110, 1, 7, 5, 48, 6, 26, 7324, 33941
GENESYS, 128, 1359, 11.060, 0, 0, 92707, 158, 1, 10, 7, 89, 6, 38, 10940, 62894
GENESYS, 192, 1999, 16.268, 0, 0, 424532, 220, 2, 10, 9, 126, 10, 38, 13280, 89373
GENESYS, 256, 2639, 21.476, 0, 0, 1107579, 326, 2, 10, 11, 164, 10, 38, 15618, 115905
