BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 50, 115, 0.936, 0, 0, 256, 63, 1, 12, 9, 27, 2, 10, 3466, 4922
Z10, 100, 148, 1.204, 0, 0, 324, 68, 1, 15, 12, 39, 2, 12, 4500, 6917
Z10, 200, 206, 1.744, 0, 0, 674, 76, 1, 20, 18, 63, 2, 16, 6495, 11204
Z10, 350, 289, 2.566, 0, 0, 2310, 91, 1, 23, 22, 91, 2, 19, 7810, 16124
Z10, 500, 365, 3.131, 0, 0, 6902, 106, 1, 17, 16, 109, 2, 14, 5815, 19325
Z20, 50, 115, 0.936, 0, 0, 250, 63, 0, 4, 3, 9, 2, 10, 3466, 4922
Z20, 100, 148, 1.204, 0, 0, 314, 67, 0, 5, 4, 13, 2, 12, 4500, 6917
Z20, 200, 206, 1.744, 0, 0, 678, 76, 0, 7, 6, 21, 2, 16, 6495, 11204
Z20, 350, 289, 2.566, 0, 0, 2443, 91, 0, 8, 7, 30, 2, 19, 7810, 16124
Z20, 500, 365, 3.131, 0, 0, 6297, 107, 0, 6, 5, 36, 2, 14, 5815, 19325
GENESYS, 50, 83, 0.675, 0, 0, 255, 53, 0, 3, 2, 5, 2, 12, 3333, 4232
GENESYS, 100, 114, 0.928, 0, 0, 324, 58, 0, 3, 3, 8, 2, 14, 4338, 6039
GENESYS, 200, 170, 1.383, 0, 0, 688, 65, 0, 4, 4, 13, 2, 16, 5848, 9619
GENESYS, 350, 251, 2.043, 0, 0, 2358, 81, 0, 5, 5, 21, 2, 19, 7129, 14885
GENESYS, 500, 326, 2.653, 0, 0, 6248, 96, 0, 3, 3, 26, 2, 14, 5416, 18723
