BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,LUTN
Z10, 2, 343, 2.165, 4, 2, 104, 32, 6, 7, 12, 34, 6109
Z10, 4, 683, 4.311, 8, 4, 102, 35, 6, 7, 15, 40, 7055
Z10, 8, 1251, 7.896, 16, 8, 111, 40, 6, 7, 19, 48, 8580
Z10, 16, 2384, 15.048, 32, 16, 120, 51, 6, 7, 29, 56, 9969
Z10, 32, 4649, 29.344, 64, 32, 133, 102, 6, 7, 47, 73, 12996
Z10, 48, 6908, 43.603, 96, 48, 138, 210, 6, 7, 68, 94, 16642
Z10, 64, 9173, 57.900, 128, 64, 155, 385, 6, 7, 85, 109, 19284
GENESYS, 2, 319, 1.298, 4, 2, 101, 26, 1, 2, 2, 7, 5022
GENESYS, 4, 645, 2.625, 8, 4, 100, 29, 1, 2, 2, 8, 6091
GENESYS, 8, 1185, 4.822, 16, 8, 106, 33, 1, 2, 3, 10, 7547
GENESYS, 16, 2262, 9.204, 32, 16, 112, 44, 1, 2, 5, 12, 8956
GENESYS, 32, 4415, 17.965, 64, 32, 127, 88, 1, 2, 9, 17, 12000
GENESYS, 48, 6562, 26.701, 96, 48, 138, 185, 1, 2, 14, 21, 15068
GENESYS, 64, 8715, 35.461, 128, 64, 152, 342, 1, 2, 18, 25, 18273
