BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,LUTN
Z10, 50, 749, 4.728, 0, 0, 122, 36, 6, 7, 10, 37, 6514
Z10, 100, 1449, 9.146, 0, 0, 164, 42, 6, 7, 13, 43, 7704
Z10, 200, 2849, 18.646, 0, 0, 405, 57, 6, 7, 19, 59, 10433
Z10, 350, 4949, 31.663, 0, 0, 1538, 88, 6, 7, 30, 79, 13991
Z10, 500, 7049, 44.493, 0, 0, 4223, 123, 6, 7, 39, 100, 17665
GENESYS, 50, 543, 2.209, 0, 0, 138, 29, 1, 2, 1, 7, 5456
GENESYS, 100, 1043, 4.244, 0, 0, 158, 32, 1, 2, 1, 9, 6796
GENESYS, 200, 2043, 8.313, 0, 0, 406, 44, 1, 2, 2, 13, 9504
GENESYS, 350, 3543, 14.416, 0, 0, 1460, 63, 1, 2, 3, 19, 13749
GENESYS, 500, 5043, 20.520, 0, 0, 3969, 85, 1, 2, 4, 25, 17737
