BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,LUTN
Z10, 30, 1402, 8.849, 0, 0, 138, 40, 5, 7, 23, 43, 7617
Z10, 40, 1832, 11.564, 0, 0, 153, 48, 5, 7, 28, 47, 8385
Z10, 60, 2692, 16.992, 0, 0, 214, 60, 5, 7, 38, 55, 9774
Z10, 90, 3982, 25.134, 0, 0, 229, 88, 5, 7, 54, 68, 12076
Z10, 120, 5272, 33.277, 0, 0, 331, 129, 5, 7, 69, 81, 14292
Z10, 130, 5702, 35.991, 0, 0, 369, 149, 5, 7, 74, 86, 15196
Z10, 150, 6562, 41.419, 0, 0, 489, 204, 5, 7, 84, 94, 16668
Z10, 175, 7637, 48.205, 0, 0, 651, 276, 5, 7, 97, 105, 18499
GENESYS, 30, 1081, 4.399, 0, 0, 142, 32, 1, 2, 4, 9, 6715
GENESYS, 40, 1411, 5.741, 0, 0, 145, 37, 1, 2, 6, 10, 7487
GENESYS, 60, 2071, 8.427, 0, 0, 186, 49, 1, 2, 8, 12, 8843
GENESYS, 90, 3061, 12.455, 0, 0, 230, 66, 1, 2, 11, 15, 11184
GENESYS, 120, 4051, 16.484, 0, 0, 344, 94, 1, 2, 15, 18, 13396
GENESYS, 130, 4381, 17.826, 0, 0, 378, 104, 1, 2, 16, 20, 14275
GENESYS, 150, 5041, 20.512, 0, 0, 491, 128, 1, 2, 18, 22, 15750
GENESYS, 175, 5866, 23.869, 0, 0, 651, 168, 1, 2, 21, 24, 17590
GENESYS, 200, 6691, 27.226, 0, 0, 1052, 229, 1, 2, 24, 27, 19422
GENESYS, 250, 8341, 33.940, 0, 0, 2827, 361, 1, 2, 29, 32, 23107
GENESYS, 350, 11641, 47.367, 0, 0, 14641, 779, 1, 2, 41, 42, 29766
GENESYS, 500, 16591, 67.509, 0, 0, 133020, 2008, 1, 2, 58, 55, 39306
