BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 2, 525, 3.314, 0, 0, 121, 42, 6, 15, 28, 57, 8, 12, 9955, 10120
Z10, 4, 544, 3.434, 0, 0, 139, 42, 6, 15, 29, 58, 8, 12, 10310, 10221
Z10, 8, 578, 3.648, 0, 0, 187, 43, 8, 15, 29, 58, 10, 12, 10416, 10260
Z10, 16, 646, 4.078, 0, 0, 362, 43, 8, 15, 30, 58, 10, 12, 10680, 10365
Z10, 32, 784, 4.949, 0, 0, 1013, 43, 8, 15, 30, 60, 10, 12, 10759, 10560
Z10, 64, 1056, 6.665, 0, 0, 6342, 46, 8, 15, 30, 61, 10, 12, 10779, 10777
Z10, 128, 1600, 10.099, 0, 0, 99217, 49, 8, 15, 30, 63, 10, 12, 10815, 11214
Z10, 192, 2144, 13.533, 0, 0, 533762, 53, 11, 15, 30, 66, 14, 12, 10850, 11789
Z10, 256, 2688, 16.967, 0, 0, 1350101, 58, 11, 15, 30, 70, 14, 12, 10883, 12344
GENESYS, 2, 298, 1.213, 0, 0, 127, 35, 1, 4, 3, 10, 8, 16, 5012, 7561
GENESYS, 4, 318, 1.294, 0, 0, 142, 36, 1, 4, 3, 10, 8, 16, 5368, 7672
GENESYS, 8, 352, 1.432, 0, 0, 185, 36, 2, 4, 3, 10, 10, 16, 5437, 7712
GENESYS, 16, 420, 1.709, 0, 0, 355, 36, 2, 4, 3, 11, 10, 16, 5636, 7817
GENESYS, 32, 558, 2.271, 0, 0, 1022, 37, 2, 4, 4, 11, 10, 16, 5714, 7977
GENESYS, 64, 830, 3.377, 0, 0, 6344, 38, 2, 4, 4, 11, 10, 16, 5733, 8208
GENESYS, 128, 1374, 5.591, 0, 0, 98796, 43, 2, 4, 4, 12, 10, 16, 5768, 8646
GENESYS, 192, 1918, 7.804, 0, 0, 534367, 46, 3, 4, 4, 13, 14, 16, 5802, 9221
GENESYS, 256, 2462, 10.018, 0, 0, 1354385, 50, 3, 4, 4, 13, 14, 16, 5835, 9778
